GeoCodeLabel,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
CITYWIDE,8136,15512,3546,2053,6,1378,4,514,3,723,6,628
MANHATTAN,1395,2477,576,238,0,181,1,148,1,134,3,202
1st Precinct,67,125,19,6,0,4,0,9,0,3,0,10
5th Precinct,74,132,24,11,0,8,0,4,0,5,2,7
6th Precinct,46,75,13,3,0,2,0,5,0,6,0,7
7th Precinct,51,94,20,12,0,10,0,4,0,2,0,5
9th Precinct,40,75,20,18,0,5,1,4,0,4,0,7
10th Precinct,66,118,19,6,0,4,0,7,0,4,0,8
13th Precinct,82,138,36,9,0,3,0,14,0,11,0,19
Midtown South Precinct,79,139,36,8,0,9,0,13,0,9,0,15
17th Precinct,88,143,45,13,0,15,0,14,1,9,0,18
Midtown North Precinct,103,174,43,15,0,10,0,12,0,13,0,17
19th Precinct,131,224,56,23,0,15,0,9,0,20,1,16
20th Precinct,37,59,20,6,0,3,0,8,0,4,0,11
Central Park Precinct,1,1,0,0,0,0,0,0,0,0,0,0
23rd Precinct,64,112,24,9,0,5,0,3,0,10,0,9
24th Precinct,53,95,17,7,0,3,0,6,0,2,0,7
25th Precinct,94,178,42,29,0,23,0,5,0,5,0,5
26th Precinct,32,60,14,6,0,4,0,5,0,3,0,7
28th Precinct,49,86,25,7,0,8,0,8,0,5,0,10
30th Precinct,51,96,19,6,0,11,0,4,0,4,0,6
32nd Precinct,50,88,20,8,0,5,0,6,0,2,0,9
33rd Precinct,57,118,27,20,0,12,0,1,0,6,0,1
34th Precinct,80,147,37,16,0,22,0,7,0,7,0,8
BRONX,1252,2408,587,374,2,282,0,60,0,118,1,70
40th Precinct,118,220,52,34,0,34,0,5,0,10,0,6
41st Precinct,100,195,38,19,0,26,0,8,0,5,0,9
42nd Precinct,70,136,42,23,0,18,0,7,0,7,0,9
43rd Precinct,128,246,65,41,0,30,0,5,0,16,1,7
44th Precinct,108,198,59,24,0,19,0,5,0,24,0,6
45th Precinct,118,234,53,43,1,30,0,3,0,8,0,3
46th Precinct,85,163,35,24,0,16,0,4,0,5,0,5
47th Precinct,144,279,64,49,0,34,0,7,0,11,0,6
48th Precinct,76,152,36,23,0,11,0,1,0,9,0,1
49th Precinct,105,190,51,33,0,20,0,8,0,7,0,9
50th Precinct,91,177,46,36,0,17,0,4,0,6,0,4
52nd Precinct,109,218,46,25,1,27,0,3,0,10,0,5
BROOKLYN,2822,5480,1213,649,1,456,2,192,1,248,1,219
60th Precinct,78,144,27,14,0,14,0,6,0,5,0,5
61st Precinct,140,271,73,41,0,19,0,6,0,21,0,6
62nd Precinct,127,241,53,18,0,16,0,10,0,14,1,12
63rd Precinct,119,249,49,41,1,17,0,5,0,7,0,7
66th Precinct,108,199,52,19,0,12,0,11,1,14,0,12
67th Precinct,179,345,87,58,0,38,0,7,0,19,0,11
68th Precinct,120,242,49,22,0,16,0,8,0,12,0,9
69th Precinct,107,211,51,41,0,26,0,4,0,7,0,4
70th Precinct,138,250,73,30,0,33,0,13,0,17,0,14
71st Precinct,105,207,46,27,0,23,1,5,0,8,0,5
72nd Precinct,148,292,71,35,0,26,1,17,0,6,0,19
73rd Precinct,113,214,44,19,0,24,0,7,0,12,0,7
75th Precinct,271,548,119,69,0,53,0,11,0,29,0,11
76th Precinct,71,143,24,16,0,10,0,4,0,4,0,6
77th Precinct,116,221,43,20,0,15,0,8,0,8,0,8
78th Precinct,102,194,48,23,0,16,0,11,0,10,0,13
79th Precinct,107,211,39,16,0,12,0,8,0,8,0,8
81st Precinct,85,178,37,26,0,18,0,2,0,9,0,5
83rd Precinct,143,268,57,32,0,10,0,10,0,12,0,13
84th Precinct,90,174,28,14,0,12,0,4,0,5,0,6
88th Precinct,94,162,43,17,0,12,0,12,0,10,0,12
90th Precinct,157,304,57,23,0,22,0,17,0,8,0,19
94th Precinct,104,212,43,28,0,12,0,6,0,3,0,7
QUEENS,2201,4266,978,642,0,394,0,106,1,184,1,127
100th Precinct,30,52,15,9,0,2,0,4,0,2,0,4
101st Precinct,60,108,22,11,0,10,0,4,0,6,0,5
102nd Precinct,125,237,47,22,0,18,0,5,0,13,0,7
103rd Precinct,139,258,59,22,0,20,0,7,0,25,0,9
104th Precinct,168,337,70,50,0,26,0,6,0,12,0,10
105th Precinct,191,386,86,72,0,42,0,9,0,9,1,9
106th Precinct,130,259,78,63,0,38,0,4,1,14,0,5
107th Precinct,123,252,63,49,0,15,0,4,0,8,0,4
108th Precinct,162,309,86,56,0,36,0,15,0,13,0,17
109th Precinct,204,380,81,42,0,28,0,9,0,19,0,10
110th Precinct,141,260,61,35,0,25,0,8,0,16,0,10
111th Precinct,132,266,49,39,0,22,0,0,0,7,0,1
112th Precinct,98,181,31,14,0,10,0,7,0,5,0,8
113th Precinct,132,273,59,48,0,38,0,1,0,5,0,2
114th Precinct,220,416,104,65,0,37,0,15,0,17,0,17
115th Precinct,146,292,67,45,0,27,0,8,0,13,0,9
STATEN ISLAND,466,881,192,150,3,65,1,8,0,39,0,10
120th Precinct,108,202,44,33,0,12,0,4,0,11,0,6
121st Precinct,150,288,56,56,0,17,0,1,0,8,0,1
122nd Precinct,147,281,65,45,3,29,1,1,0,12,0,1
123rd Precinct,61,110,27,16,0,7,0,2,0,8,0,2